Stream Crossing Id,My Crossing Reference,Watershed Group,Stream Name,Road Name,Assessment,Reassessment,Habitat Confirmation,Design,Remediation,Fish Sampling,Link Report1,Link Report2,Link Report3,Rank
197648,1804153,Bulkley River,Tributary to Buck Creek,Balsam FSR,yes,,,,,,url_link,,,
197649,1804151,Bulkley River,Tributary to Buck Creek,Balsam FSR,yes,,,,,,url_link,,,
197650,1804851,Bulkley River,Bob Creek,Bob Creek FSR,yes,,,,,,url_link,,,
197651,1800868,Bulkley River,Tributary to Goosly Lake,Spur off Parrot FSR,yes,,,,,,url_link,,,
197652,1800077,Bulkley River,McInnes Creek,Unnamed,yes,,,,,,url_link,,,
197653,1800068,Bulkley River,Perow Creek,Perow Loop Rd,yes,,yes,,,,url_link,,,
197654,1804152,Bulkley River,Tributary to Buck Creek,Balsam FSR,yes,,,,,,url_link,,,
197655,1800073,Bulkley River,McInnes Creek,Highway 16,yes,,,,,,url_link,,,
197656,1800071,Bulkley River,Tributary to Bulkley River,Highway 16,yes,,,,,,url_link,,,
197657,1800064,Bulkley River,Perow Creek,Highway 16,yes,yes,,,,,url_link,,,
197658,1800062,Bulkley River,Byman Creek,Highway 16,yes,,yes,,,,url_link,,,
197659,1800066,Bulkley River,Perow Creek,CN Railway,yes,,,,,,url_link,,,
197660,1805595,Bulkley River,Byman Creek,CN Railway,yes,,,,,,url_link,,,
197661,2020082701,Bulkley River,Perow Creek,Perow Station Rd,yes,,,,,,url_link,,,
197662,1800060,Bulkley River,Richfield Creek,Highway 16,yes,,yes,,,yes,url_link,url_link,,
197663,1800213,Bulkley River,Johnny David Creek,Highway 16,yes,,yes,,,yes,url_link,,,
197664,1801069,Bulkley River,Barren Creek,Highway 16,yes,,yes,,,,url_link,,,
197665,1800076,Bulkley River,Barren Creek,CN Railway,yes,,yes,,,,url_link,,,
197666,2020083101,Bulkley River,Helps Creek,CN Railway,yes,,,,,,url_link,,,
197667,1805606,Bulkley River,Moan Creek,CN Railway,yes,,yes,,,,url_link,,,
197668,1805608,Bulkley River,Coffin Creek,CN Railway,yes,,yes,,,,url_link,,,
197669,14000079,Morice River,Riddeck Creek,Private,yes,,,,,,url_link,,,
197900,1805532,Bulkley River,Crow Creek,CN Railway,yes,,,,,,url_link,,,
197901,1801185,Bulkley River,Crow Creek,Private,yes,,,,,,url_link,,,
197902,1800360,Bulkley River,Tributary to Bulkley River,Rose Lake Cuttoff Road,yes,,,,,,url_link,,,
197903,1800180,Bulkley River,Tributary to Bulkley River,Rose Lake Cuttoff Road,yes,,,,,,url_link,,,
197904,1800372,Bulkley River,Tributary to Bulkley River,Crow Creek Road,yes,,,,,,url_link,,,
197905,1803682,Bulkley River,Crow Creek,Maxan Creek FSR,yes,,,,,,url_link,,,
197906,1803706,Bulkley River,Tributary to Maxan Creek,Maxan Creek FSR,yes,,,,,,url_link,,,
197907,1802611,Bulkley River,Tributary to Maxan Creek,Maxan Creek FSR,yes,,,,,,url_link,,,
197908,1803697,Bulkley River,Tributary to Maxan Creek,Maxan Creek FSR,yes,,,,,,url_link,,,
197909,1804693,Bulkley River,Tributary to Maxan Creek,Maxan Creek FSR,yes,,yes,,,,url_link,,,
197910,1804694,Bulkley River,Tributary to Maxan Creek,Spur 30,yes,,,,,,url_link,,,
197911,2021083003,Bulkley River,Foxy Creek,unnamed,yes,,,,,,url_link,,,
197912,1802106,Bulkley River,Robert Hatch Creek,Private,yes,,yes,,yes,yes,url_link,,,
197913,1802088,Bulkley River,Robert Hatch Creek,Private,yes,,,,,,url_link,,,
197914,1802089,Bulkley River,Johnny David Creek,Private,yes,,,,,,url_link,,,
197915,14000613,Morice River,Tributary to Gosnell Creek,,yes,,,,,,url_link,,,
197916,14000621,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197917,14000614,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197918,14000944,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197919,14001249,Morice River,Tributary to Gosnell Creek,Spur,yes,,,,,,url_link,,,
197920,14000725,Morice River,Tributary to Gosnell Creek,Crystal Creek FSR,yes,,,,,,url_link,,,
197921,14001542,Morice River,Tributary to Gosnell Creek,Spur,yes,,,,,,url_link,,,
197922,14000828,Morice River,Tributary to Gosnell Creek,Spur,yes,,,,,,url_link,,,
