source_file,date_time_original,model
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/8530/20240917_161116_inlet.JPG,2024:09:17 16:10:57,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/8530/TC_00143.JPG,2024:09:17 16:11:04,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/8530/20240917_161114_upstream.JPG,2024:09:17 16:11:04,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/8530/TC_00144.JPG,2024:09:17 16:18:53,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/8530/20240917_161857_paper_card.JPG,2024:09:17 16:18:53,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00145.JPG,2024:09:18 10:25:54,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_102624_ds_ef1_card.JPG,2024:09:18 10:25:54,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/IMG_6370.JPG,2024:09:18 10:41:24,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_111510_us_typical_1.JPG,2024:09:18 10:41:24,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00146.JPG,2024:09:18 10:51:10,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_105247_ds_ef1_pool.JPG,2024:09:18 10:51:10,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00147.JPG,2024:09:18 10:51:25,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_105255_ds_ef1_net.JPG,2024:09:18 10:51:25,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00148.JPG,2024:09:18 10:51:35,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_105300_ds_ef1_net.JPG,2024:09:18 10:51:35,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00150.JPG,2024:09:18 10:51:56,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_105914_ds_ef1_extra4.JPG,2024:09:18 10:51:56,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00151.JPG,2024:09:18 10:54:48,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_105842_ds_ef1_typical_1.JPG,2024:09:18 10:54:48,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/IMG_6372.JPG,2024:09:18 10:55:51,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_111534_us_typical_2.JPG,2024:09:18 10:55:51,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00152.JPG,2024:09:18 10:56:43,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_105839_ds_ef1_gravel.JPG,2024:09:18 10:56:43,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00153.JPG,2024:09:18 10:56:50,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_105845_ds_ef1_typical_2.JPG,2024:09:18 10:56:50,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00154.JPG,2024:09:18 10:58:19,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_105849_ds_ef1_extra3.JPG,2024:09:18 10:58:19,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/IMG_6373.JPG,2024:09:18 11:06:48,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_110701_us_pool.JPG,2024:09:18 11:06:48,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/IMG_6374.JPG,2024:09:18 11:12:21,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_111548_us_matureactriparian.JPG,2024:09:18 11:12:21,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/IMG_6375.JPG,2024:09:18 11:14:52,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_111457_us_gravel.JPG,2024:09:18 11:14:52,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/IMG_6376.JPG,2024:09:18 11:37:54,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_113813_us_beaverimpoundmenttopsite.JPG,2024:09:18 11:37:54,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00191.JPG,2024:09:18 12:45:25,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_125332_us_ef1_card.JPG,2024:09:18 12:45:25,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00192.JPG,2024:09:18 12:51:29,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_125335_us_ef1_extra5.JPG,2024:09:18 12:51:29,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00194.JPG,2024:09:18 13:34:12,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_144458_us_ef1_extra4.JPG,2024:09:18 13:34:12,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/IMG_6390.JPG,2024:09:18 13:37:09,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/20240918_133936_ds_pool.JPG,2024:09:18 13:37:09,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/IMG_6391.JPG,2024:09:18 13:42:48,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/20240918_141258_ds_gravel.JPG,2024:09:18 13:42:48,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/IMG_6392.JPG,2024:09:18 13:43:45,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/20240918_141310_ds_typical_1.JPG,2024:09:18 13:43:45,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/IMG_6393.JPG,2024:09:18 13:49:00,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/20240918_141318_ds_typical_2.JPG,2024:09:18 13:49:00,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00195.JPG,2024:09:18 13:52:37,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_144438_us_ef1_typical_1.JPG,2024:09:18 13:52:37,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00196.JPG,2024:09:18 13:52:45,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_144445_us_ef1_typical_2.JPG,2024:09:18 13:52:45,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00198.JPG,2024:09:18 13:53:12,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_144425_us_ef1_gravel.JPG,2024:09:18 13:53:12,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/TC_00199.JPG,2024:09:18 13:53:17,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198935/20240918_144431_us_ef1_pool.JPG,2024:09:18 13:53:17,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/IMG_6396.JPG,2024:09:18 14:23:53,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/20240918_143715_road.JPG,2024:09:18 14:23:53,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/IMG_6398.JPG,2024:09:18 14:25:07,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/20240918_143729_inlet.JPG,2024:09:18 14:25:07,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/IMG_6399.JPG,2024:09:18 14:25:23,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/20240918_143726_upstream.JPG,2024:09:18 14:25:23,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/IMG_6400.JPG,2024:09:18 14:32:12,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-072-sern-skeena-fish-passage/data/photos/sorted/198940/20240918_143733_outlet.JPG,2024:09:18 14:32:12,iPhone 13 Pro Max
