rowid,aggregated_crossings_id,pscis_crossing_id,my_crossing_reference,source,barrier_result,downstream_channel_width_meters,fill_depth_meters,fill_dpth_over,crossing_fix,span_input
5,1001805555,,1805555,pscis_phase1.xlsm,Barrier,5,1,-2,Replace with New Open Bottom Structure,15
6,1008300088,,8300088,pscis_phase1.xlsm,Potential,0.5,0.4,-2.6,Replace Structure with Streambed Simulation CBS,3
7,1008300015,,8300015,pscis_phase1.xlsm,Barrier,0.95,0.5,-2.5,Replace Structure with Streambed Simulation CBS,3
8,2024092550,,2024092550,pscis_phase1.xlsm,Barrier,6,0.5,-2.5,Replace with New Open Bottom Structure,15
9,2024092003,,2024092003,pscis_phase1.xlsm,Barrier,7,1,-2,Replace with New Open Bottom Structure,15
10,2024092001,,2024092001,pscis_phase1.xlsm,Passable,,,,,
11,2024092002,,2024092002,pscis_phase1.xlsm,Passable,,,,,
12,2024092501,,2024092501,pscis_phase1.xlsm,Passable,,,,,
13,2024092751,,2024092751,pscis_phase1.xlsm,Passable,,,,,
